A,Y,W,Z,X_race,X_sex,X_faminc_2000
18.0,10.799575577092764,11.06663836234181,14.0,3,1,332808.0
12.0,9.048291920021784,11.082142548877775,12.0,3,2,26800.0
16.0,11.03488966402723,10.51867319162636,16.0,3,1,121000.0
16.0,10.51867319162636,10.819778284410283,16.0,3,1,96540.0
13.0,11.127262984158243,9.392661928770137,6.0,3,1,70100.0
12.0,9.305650551780507,11.002099841204238,12.0,3,2,92200.0
16.0,9.903487552536127,8.987196820661973,12.0,3,1,34000.0
12.0,10.53334876052526,10.668955394675699,12.0,3,2,100000.0
16.0,10.491274217438248,10.46310334047155,12.0,3,1,
16.0,12.002474335450016,10.652353221852417,15.0,3,2,332808.0
16.0,9.210340371976184,10.819778284410283,17.0,3,2,58800.0
17.0,10.819778284410283,11.156250521031495,20.0,3,2,
12.0,10.404262840448617,9.472704636443673,12.0,3,1,58200.0
12.0,10.308952660644293,9.392661928770137,15.0,3,1,
14.0,8.699514748210191,11.002099841204238,12.0,3,2,57600.0
12.0,10.915088464214607,10.645424897265505,14.0,3,2,111200.0
12.0,10.915088464214607,11.06663836234181,16.0,3,2,159200.0
9.0,10.491274217438248,9.443038136095204,5.0,3,1,41000.0
16.0,9.903487552536127,10.933106969717286,15.0,3,2,90100.0
16.0,11.018629143155449,10.736396675471232,16.0,3,2,165500.0
12.0,10.085809109330082,11.06663836234181,12.0,3,2,102868.0
12.0,9.104979856318357,11.326595886778735,12.0,3,2,86100.0
13.0,10.680516217076775,11.141861783579396,16.0,3,1,115200.0
16.0,11.002099841204238,10.778956289890028,14.0,3,1,115000.0
13.0,10.617294835792377,10.82031813866275,14.0,1,2,100000.0
16.0,10.819778284410283,10.714417768752456,16.0,3,1,
12.0,9.95227771670556,11.002099841204238,12.0,3,2,105400.0
16.0,10.968198289528557,10.757902880692196,12.0,3,2,89000.0
12.0,8.294049640102028,11.156250521031495,12.0,3,2,105000.0
16.0,9.740968623038354,11.002099841204238,12.0,3,2,78400.0
18.0,11.03488966402723,11.289781913656018,16.0,3,2,178000.0
10.0,9.326878188224134,10.357615832623573,12.0,3,2,67054.0
19.0,11.507802364271457,10.198616825622958,15.0,3,1,175000.0
16.0,10.404262840448617,11.082142548877775,16.0,3,2,
12.0,6.907755278982137,10.308952660644293,12.0,3,2,42000.0
18.0,11.141861783579396,10.341742483467284,16.0,3,1,120000.0
12.0,10.915088464214607,9.740968623038354,8.0,3,1,50000.0
12.0,10.858998997563564,10.308952660644293,12.0,3,1,
15.0,11.156250521031495,8.612503371220562,16.0,3,1,77000.0
20.0,11.225243392518447,11.141861783579396,14.0,3,2,159000.0
20.0,11.440354772135393,10.308952660644293,14.0,3,2,123000.0
12.0,8.006367567650246,11.407564949312402,15.0,3,2,80976.0
12.0,9.903487552536127,9.95227771670556,11.0,3,2,66000.0
12.0,10.341742483467284,10.915088464214607,6.0,3,2,
12.0,9.104979856318357,11.082142548877775,18.0,3,2,
14.0,9.392661928770137,10.308952660644293,12.0,3,2,23140.0
19.0,10.714417768752456,10.4341158035983,15.0,3,1,79800.0
17.0,9.210340371976184,10.491274217438248,9.0,3,2,57400.0
12.0,9.998797732340453,9.998797732340453,10.0,3,2,57050.0
12.0,7.495541943884256,11.225243392518447,16.0,3,2,90400.0
14.0,10.691944912900398,10.308952660644293,14.0,3,1,78000.0
16.0,12.002474335450016,8.160518247477505,16.0,3,1,332808.0
15.0,10.933106969717286,8.517193191416238,14.0,3,1,88000.0
13.0,9.210340371976184,10.757902880692196,20.0,3,1,67664.0
14.0,10.085809109330082,11.184421397998193,16.0,3,2,101600.0
12.0,9.472704636443673,11.429543856031177,16.0,3,2,79240.0
13.0,9.392661928770137,10.126631103850338,5.0,3,2,10800.0
18.0,11.289781913656018,10.491274217438248,19.0,3,1,86250.0
16.0,7.090076835776092,11.082142548877775,14.0,3,2,70000.0
12.0,10.760028280004509,10.203592144986466,13.0,1,1,
10.0,10.126631103850338,10.819778284410283,9.0,1,2,63000.0
12.0,10.043249494911286,9.998797732340453,12.0,3,2,46000.0
10.0,8.85366542803745,10.059294003674328,8.0,1,2,35900.0
18.0,7.824046010856292,10.839580911706463,17.0,3,2,
13.0,7.313220387090301,11.141861783579396,12.0,3,2,110060.0
14.0,10.239959789157341,10.404262840448617,15.0,1,2,65080.0
12.0,10.126631103850338,9.615805480084347,9.0,1,1,62000.0
12.0,9.913437883389296,10.308952660644293,12.0,3,2,55000.0
12.0,10.126631103850338,8.294049640102028,16.0,3,1,
16.0,10.308952660644293,9.588776807696428,16.0,3,1,44500.0
12.0,11.225243392518447,9.998797732340453,12.0,3,1,139000.0
12.0,10.668955394675699,10.868568448579715,12.0,2,2,120000.0
12.0,10.184900011974314,9.648595302907339,13.0,2,2,47000.0
12.0,8.987196820661973,9.210340371976184,11.0,2,2,34000.0
16.0,10.950806546816688,10.043249494911286,16.0,3,1,83000.0
13.0,11.407564949312402,9.94270826568941,14.0,3,1,153000.0
17.0,10.714417768752456,10.51867319162636,12.0,3,1,98200.0
12.0,10.46310334047155,10.46310334047155,16.0,3,1,60000.0
12.0,10.778956289890028,11.082142548877775,12.0,3,2,71800.0
12.0,7.600902459542082,10.915088464214607,12.0,3,2,65000.0
13.0,11.289781913656018,8.85366542803745,12.0,3,1,
12.0,9.9281801651265,10.165851817003619,12.0,3,2,68000.0
